name,category,description,address,parking,businessHours,businessDays,tel,website,lat,lng,price
ビストロ ラヴィ,フレンチ,気軽に楽しめるビストロ料理。ワインも充実。,東京都東村山市本町13-13-13,true,11:30-14:00/18:00-22:00,水〜月,042-111-2222,,35.7604,139.4681,2500円〜5000円
京料理 梅乃家,和食,京都仕込みの上品な和食。朝掘り筍など季節料理。,東京都清瀬市松山14-14-14,true,11:30-14:00/17:30-21:00,火〜日,042-222-3333,https://example.com/umenoya,35.7873,139.5268,2800円〜6000円
韓国家庭料理 ソナム,韓国料理,家庭的な韓国料理。ランチセット人気。,東京都東久留米市本町15-15-15,false,11:00-22:00,毎日,042-333-4444,,35.7605,139.5293,1000円〜2000円
インド料理 タージ,インド料理,4種のカレーが選べるセット。ナンおかわり自由。,東京都武蔵村山市本町16-16-16,true,11:00-22:30,毎日,042-444-5555,https://example.com/taj,35.7547,139.3875,900円〜1800円
中国家庭料理 福満園,中華料理,リーズナブルな定食が充実。餃子が名物。,東京都多摩市関戸17-17-17,false,11:30-21:00,月〜土,042-555-6666,,35.6501,139.4458,800円〜1500円
蕎麦酒房 いろは,そば,こだわりの日本酒と一品料理。夜は居酒屋として。,東京都稲城市大丸18-18-18,false,11:30-14:00/17:00-22:00,水〜月,042-666-7777,,35.6309,139.5050,1000円〜3000円
スペイン料理 バルセロナ,スペイン料理,本格パエリアとタパス。フラメンコショーあり。,東京都羽村市栄町19-19-19,true,11:30-14:30/17:30-23:00,毎日,042-777-8888,https://example.com/barcelona,35.7567,139.3114,2000円〜4000円
メキシカン サボテン,メキシコ料理,本格タコスとテキーラが豊富。辛さ調整可能。,東京都あきる野市秋川20-20-20,true,11:30-22:00,火〜日,042-888-9999,,35.7289,139.2943,1200円〜2500円
お好み焼き 鉄板亭,お好み焼き,広島風・関西風が選べる。モダン焼きも人気。,東京都荒川区西日暮里1-1-1,false,11:30-22:30,毎日,03-1122-3344,,35.7276,139.7713,800円〜2000円
たこ焼き 大阪魂,たこ焼き,大阪出身店主の本格たこ焼き。ソースにもこだわり。,東京都足立区千住2-2-2,false,11:00-21:00,水〜月,03-2233-4455,,35.7485,139.8048,500円〜1000円
居酒屋 いろは,居酒屋,季節の魚と地酒が自慢。おでんは通年提供。,東京都葛飾区亀有3-3-3,true,16:00-23:30,月〜土,03-3344-5566,https://example.com/iroha,35.7468,139.8487,2500円〜5000円
クラフトバーガー 昭和,ハンバーガー,昭和レトロな雰囲気の国産バーガー。,東京都江戸川区西葛西4-4-4,false,11:00-21:00,毎日,03-4455-6677,,35.7645,139.8590,900円〜1500円
牛丼 正宗,牛丼,国産牛にこだわった牛丼。朝5時まで営業。,東京都墨田区錦糸町5-5-5,false,06:00-29:00,毎日,03-5566-7788,,35.7011,139.8138,500円〜1200円
天丼 天國,天丼,サクサク衣の天ぷらが絶品。かき揚げ丼も人気。,東京都台東区浅草6-6-6,false,11:00-21:00,水〜月,03-6677-8899,,35.7163,139.7959,1000円〜2000円
茶房 福々,甘味処,うどんや蕎麦に加え、手作り和菓子が評判。,東京都北区王子7-7-7,false,10:00-19:00,火〜日,03-7788-9900,,35.7530,139.7381,800円〜1800円
もんじゃ焼き 文字,もんじゃ焼き,月島生まれの店主による本格もんじゃ。明太もんじゃが人気。,東京都中央区月島8-8-8,false,11:30-23:00,毎日,03-8899-0011,,35.6605,139.7845,800円〜2000円
炭火串焼き 鳥政,串焼き,備長炭使用の本格串焼き。つくねが絶品。,東京都江東区門前仲町9-9-9,false,16:00-23:30,月〜土,03-9900-1122,,35.6714,139.7937,2000円〜4000円
洋食 クローバー,洋食,創業50年の老舗洋食店。ハンバーグが看板メニュー。,東京都大田区大森10-10-10,true,11:30-21:30,火〜日,03-0011-2233,,35.5881,139.7277,1000円〜2000円
立ち飲み 漁火,居酒屋,新鮮な刺身と焼き物。サラリーマンに人気。,東京都品川区北品川11-11-11,false,15:00-23:30,月〜土,03-1122-3344,,35.6229,139.7405,2000円〜3500円
煮込み まる重,大衆食堂,煮込み料理と定食が充実。昔ながらの味。,東京都目黒区祐天寺12-12-12,false,11:00-21:00,水〜月,03-2233-4455,,35.6372,139.6869,700円〜1500円
餃子専門 北京亭,餃子,手作り餃子が評判。持ち帰りも可能。,東京都世田谷区経堂13-13-13,false,11:30-21:30,毎日,03-3344-5566,,35.6465,139.6358,500円〜1200円
鉄板焼き よしむら,鉄板焼き,目の前で焼く熱々の料理。特製ソースが人気。,東京都中野区東中野14-14-14,false,17:00-23:00,火〜日,03-4455-6677,https://example.com/yoshimura,35.7073,139.6834,3000円〜8000円
讃岐うどん 白川,うどん,打ちたての麺とダシが絶品。天ぷらも人気。,東京都新宿区神楽坂15-15-15,false,11:00-21:00,月〜土,03-5566-7788,,35.7019,139.7347,700円〜1500円
とんかつ 松のや,和食,国産豚肉使用。サクサクの衣が特徴。,東京都杉並区高円寺16-16-16,false,11:00-22:00,毎日,03-6677-8899,,35.7052,139.6499,900円〜1800円
焼きそば専門 富士,焼きそば,富士宮焼きそばを東京で。オリジナルソースが決め手。,東京都板橋区大山17-17-17,false,11:30-21:00,水〜月,03-7788-9900,,35.7493,139.7019,700円〜1200円
どて焼き 味平,どて焼き,名古屋名物のどて焼きが楽しめる。味噌おでんも人気。,東京都練馬区江古田18-18-18,false,16:00-23:00,月〜土,03-8899-0011,,35.7374,139.6722,800円〜2000円
焼き鳥 鳥せん,焼き鳥,備長炭使用の本格焼き鳥。つくねが絶品。,東京都文京区千駄木19-19-19,false,17:00-23:30,毎日,03-9900-1122,,35.7272,139.7625,2500円〜5000円
おでん 大黒,おでん,出汁にこだわった王道おでん。冬季は終日満席。,東京都豊島区巣鴨20-20-20,false,16:00-23:00,火〜日,03-0011-2233,,35.7334,139.7391,1500円〜3000円
